set.name	set.size	overlap	p.val	q.val
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	23	5	8.000915226737937e-4	0.14881702321732562
KEGG_SULFUR_METABOLISM	12	3	0.002361797663469154	0.2196471827026313
KEGG_ALZHEIMERS_DISEASE	142	13	0.012701450648593036	0.6542582358203581
KEGG_SMALL_CELL_LUNG_CANCER	80	8	0.019625359689272526	0.6542582358203581
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	12	2	0.020484409987023763	0.6542582358203581
KEGG_TASTE_TRANSDUCTION	33	4	0.024386652994881807	0.6542582358203581
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	97	9	0.024957285318241002	0.6542582358203581
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	116	10	0.03322916526549046	0.6542582358203581
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	102	9	0.03392675145042248	0.6542582358203581
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	4	0.05556130642762253	0.6542582358203581
KEGG_CALCIUM_SIGNALING_PATHWAY	157	12	0.055865292639384334	0.6542582358203581
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	18	2	0.060726113020061485	0.6542582358203581
KEGG_CHRONIC_MYELOID_LEUKEMIA	70	6	0.06426706926657363	0.6542582358203581
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	72	6	0.07259619024500916	0.6542582358203581
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	9	1	0.0736681835548284	0.6542582358203581
KEGG_FOCAL_ADHESION	181	13	0.07646144484836853	0.6542582358203581
KEGG_PATHWAYS_IN_CANCER	302	20	0.08770212005718445	0.6542582358203581
KEGG_VIBRIO_CHOLERAE_INFECTION	47	4	0.0892799089113317	0.6542582358203581
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	91	7	0.09116632583888332	0.6542582358203581
KEGG_LONG_TERM_POTENTIATION	62	5	0.09444820159303033	0.6542582358203581
KEGG_GLIOMA	62	5	0.09444820159303033	0.6542582358203581
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	2	0.09891637945972383	0.6542582358203581
KEGG_RENAL_CELL_CARCINOMA	64	5	0.10611619762836914	0.6542582358203581
KEGG_TGF_BETA_SIGNALING_PATHWAY	79	6	0.1065453839749065	0.6542582358203581
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	36	3	0.10884922472182242	0.6542582358203581
KEGG_SELENOAMINO_ACID_METABOLISM	23	2	0.10967376937537744	0.6542582358203581
KEGG_INOSITOL_PHOSPHATE_METABOLISM	51	4	0.11650912897199363	0.6542582358203581
KEGG_ERBB_SIGNALING_PATHWAY	82	6	0.12332385490118132	0.6542582358203581
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	52	4	0.12387185148864631	0.6542582358203581
KEGG_NON_SMALL_CELL_LUNG_CANCER	52	4	0.12387185148864631	0.6542582358203581
KEGG_GAP_JUNCTION	83	6	0.1292019161760216	0.6542582358203581
KEGG_HISTIDINE_METABOLISM	25	2	0.13244444379363074	0.6542582358203581
KEGG_TYPE_II_DIABETES_MELLITUS	39	3	0.13544712686891053	0.6542582358203581
KEGG_ADHERENS_JUNCTION	69	5	0.13835112521990245	0.6542582358203581
KEGG_STEROID_BIOSYNTHESIS	13	1	0.13986010565853577	0.6542582358203581
KEGG_ETHER_LIPID_METABOLISM	26	2	0.1443992852378183	0.6542582358203581
KEGG_ABC_TRANSPORTERS	40	3	0.14485174976132065	0.6542582358203581
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	55	4	0.14720036406586862	0.6542582358203581
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	102	7	0.14783617798272305	0.6542582358203581
KEGG_PROTEASOME	41	3	0.15450477066226107	0.6542582358203581
KEGG_PPAR_SIGNALING_PATHWAY	56	4	0.15536791592276464	0.6542582358203581
KEGG_BUTANOATE_METABOLISM	27	2	0.15669453360923066	0.6542582358203581
KEGG_PHENYLALANINE_METABOLISM	14	1	0.15793015044642622	0.6542582358203581
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	42	3	0.1643930676560065	0.6542582358203581
KEGG_GLUTATHIONE_METABOLISM	42	3	0.1643930676560065	0.6542582358203581
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	28	2	0.16930081083959	0.6542582358203581
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	43	3	0.17450324048308466	0.6542582358203581
KEGG_APOPTOSIS	74	5	0.17460199593144493	0.6542582358203581
KEGG_OTHER_GLYCAN_DEGRADATION	15	1	0.17640292525391096	0.6542582358203581
KEGG_HUNTINGTONS_DISEASE	158	10	0.1814779765665205	0.6542582358203581
KEGG_MELANOGENESIS	93	6	0.19515499939030645	0.6542582358203581
KEGG_PROPANOATE_METABOLISM	30	2	0.19533036330080913	0.6542582358203581
KEGG_N_GLYCAN_BIOSYNTHESIS	45	3	0.1953346071184582	0.6542582358203581
KEGG_MELANOMA	61	4	0.19881124305707512	0.6542582358203581
KEGG_ARACHIDONIC_ACID_METABOLISM	46	3	0.20602817514926244	0.6542582358203581
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	215	13	0.2061739120320694	0.6542582358203581
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	62	4	0.20796589581707922	0.6542582358203581
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	181	11	0.2117741108726585	0.6542582358203581
KEGG_MAPK_SIGNALING_PATHWAY	234	14	0.21243547769328255	0.6542582358203581
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	1	0.21421402396993228	0.6542582358203581
KEGG_TYROSINE_METABOLISM	32	2	0.22226046770562838	0.6542582358203581
KEGG_TYPE_I_DIABETES_MELLITUS	32	2	0.22226046770562838	0.6542582358203581
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	80	5	0.22259295149941263	0.6542582358203581
KEGG_PANCREATIC_CANCER	65	4	0.23621350459361556	0.6542582358203581
KEGG_OOCYTE_MEIOSIS	99	6	0.24007346887244108	0.6542582358203581
KEGG_CHEMOKINE_SIGNALING_PATHWAY	151	9	0.24067090617977085	0.6542582358203581
KEGG_P53_SIGNALING_PATHWAY	66	4	0.24586238345003494	0.6542582358203581
KEGG_HEDGEHOG_SIGNALING_PATHWAY	50	3	0.2503312214798433	0.6542582358203581
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	171	10	0.25515991969802315	0.6542582358203581
KEGG_CELL_CYCLE	120	7	0.2681659745208076	0.6542582358203581
KEGG_INSULIN_SIGNALING_PATHWAY	120	7	0.2681659745208076	0.6542582358203581
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	6	0	0.26987576557026527	0.6542582358203581
KEGG_PENTOSE_PHOSPHATE_PATHWAY	20	1	0.2720033224327173	0.6542582358203581
