d.in	d.out	r
1.874251497005988	33.952095808383234	obs
1.7904191616766467	34.035928143712574	r.1
1.938622754491018	33.887724550898206	r.2
2.0269461077844313	33.79940119760479	r.3
1.967065868263473	33.85928143712575	r.4
1.971556886227545	33.854790419161674	r.5
1.8862275449101797	33.94011976047904	r.6
1.9146706586826348	33.91167664670659	r.7
1.9131736526946108	33.91317365269461	r.8
1.8098802395209581	34.01646706586826	r.9
1.8802395209580838	33.946107784431135	r.10
1.9925149700598803	33.83383233532934	r.11
1.8667664670658684	33.959580838323355	r.12
1.9805389221556886	33.84580838323353	r.13
1.968562874251497	33.85778443113772	r.14
1.9236526946107784	33.90269461077844	r.15
1.8832335329341316	33.94311377245509	r.16
1.874251497005988	33.952095808383234	r.17
1.9341317365269461	33.89221556886228	r.18
1.8787425149700598	33.94760479041916	r.19
1.8607784431137724	33.96556886227545	r.20
1.8847305389221556	33.941616766467064	r.21
2.0119760479041915	33.81437125748503	r.22
1.8203592814371257	34.0059880239521	r.23
1.8802395209580838	33.946107784431135	r.24
1.9520958083832336	33.874251497005986	r.25
1.8697604790419162	33.956586826347305	r.26
1.9625748502994012	33.86377245508982	r.27
1.81437125748503	34.01197604790419	r.28
1.902694610778443	33.92365269461078	r.29
1.9116766467065869	33.91467065868263	r.30
1.9131736526946108	33.91317365269461	r.31
2.032934131736527	33.793413173652695	r.32
1.9266467065868262	33.8997005988024	r.33
1.9221556886227544	33.90419161676647	r.34
1.9805389221556886	33.84580838323353	r.35
1.9550898203592815	33.87125748502994	r.36
1.901197604790419	33.9251497005988	r.37
1.9461077844311376	33.880239520958085	r.38
1.9281437125748504	33.89820359281437	r.39
1.9835329341317365	33.84281437125748	r.40
1.8218562874251496	34.00449101796407	r.41
1.7335329341317365	34.09281437125748	r.42
1.9835329341317365	33.84281437125748	r.43
1.9341317365269461	33.89221556886228	r.44
1.8832335329341316	33.94311377245509	r.45
1.8368263473053892	33.98952095808383	r.46
1.9895209580838322	33.83682634730539	r.47
1.9251497005988023	33.90119760479042	r.48
1.8997005988023952	33.92664670658683	r.49
1.8907185628742516	33.93562874251497	r.50
1.8188622754491017	34.00748502994012	r.51
1.904191616766467	33.92215568862275	r.52
1.7679640718562875	34.058383233532936	r.53
1.9491017964071857	33.877245508982035	r.54
1.9610778443113772	33.865269461077844	r.55
1.7964071856287425	34.02994011976048	r.56
1.8652694610778444	33.961077844311376	r.57
1.877245508982036	33.949101796407184	r.58
2.0209580838323356	33.80538922155689	r.59
1.971556886227545	33.854790419161674	r.60
1.9116766467065869	33.91467065868263	r.61
1.9281437125748504	33.89820359281437	r.62
1.9491017964071857	33.877245508982035	r.63
1.875748502994012	33.95059880239521	r.64
1.9610778443113772	33.865269461077844	r.65
1.842814371257485	33.98353293413174	r.66
1.8907185628742516	33.93562874251497	r.67
1.8967065868263473	33.92964071856287	r.68
1.9311377245508983	33.895209580838326	r.69
1.877245508982036	33.949101796407184	r.70
1.9341317365269461	33.89221556886228	r.71
1.904191616766467	33.92215568862275	r.72
1.9775449101796407	33.84880239520958	r.73
2.001497005988024	33.8248502994012	r.74
1.9236526946107784	33.90269461077844	r.75
1.9176646706586826	33.90868263473054	r.76
1.9236526946107784	33.90269461077844	r.77
1.967065868263473	33.85928143712575	r.78
1.9206586826347305	33.90568862275449	r.79
1.8847305389221556	33.941616766467064	r.80
1.9446107784431137	33.881736526946106	r.81
2.05688622754491	33.76946107784431	r.82
1.8607784431137724	33.96556886227545	r.83
1.998502994011976	33.82784431137725	r.84
1.875748502994012	33.95059880239521	r.85
1.8203592814371257	34.0059880239521	r.86
1.9311377245508983	33.895209580838326	r.87
1.910179640718563	33.91616766467066	r.88
1.9895209580838322	33.83682634730539	r.89
1.8338323353293413	33.99251497005988	r.90
2.029940119760479	33.796407185628745	r.91
2.035928143712575	33.790419161676645	r.92
1.93562874251497	33.89071856287425	r.93
1.9880239520958083	33.83832335329341	r.94
1.9820359281437125	33.84431137724551	r.95
1.8083832335329342	34.01796407185629	r.96
1.9191616766467066	33.90718562874252	r.97
2.004491017964072	33.82185628742515	r.98
1.8652694610778444	33.961077844311376	r.99
1.785928143712575	34.040419161676645	r.100
1.9955089820359282	33.83083832335329	r.101
2.088323353293413	33.73802395209581	r.102
1.8053892215568863	34.02095808383233	r.103
1.9416167664670658	33.884730538922156	r.104
1.8712574850299402	33.955089820359284	r.105
1.8353293413173652	33.99101796407186	r.106
1.8562874251497006	33.97005988023952	r.107
1.967065868263473	33.85928143712575	r.108
1.8502994011976048	33.97604790419162	r.109
1.9745508982035929	33.85179640718563	r.110
1.9401197604790419	33.88622754491018	r.111
1.9520958083832336	33.874251497005986	r.112
1.9311377245508983	33.895209580838326	r.113
1.971556886227545	33.854790419161674	r.114
1.8922155688622755	33.93413173652694	r.115
1.9491017964071857	33.877245508982035	r.116
1.93562874251497	33.89071856287425	r.117
1.9775449101796407	33.84880239520958	r.118
1.845808383233533	33.98053892215569	r.119
1.9565868263473054	33.869760479041915	r.120
1.901197604790419	33.9251497005988	r.121
1.8368263473053892	33.98952095808383	r.122
1.841317365269461	33.98502994011976	r.123
1.8802395209580838	33.946107784431135	r.124
1.9535928143712575	33.872754491017965	r.125
2.038922155688623	33.787425149700596	r.126
1.8937125748502994	33.93263473053892	r.127
2.0224550898203595	33.803892215568865	r.128
1.81437125748503	34.01197604790419	r.129
1.9850299401197604	33.84131736526946	r.130
1.8173652694610778	34.00898203592814	r.131
