data	network/data/ppi-strict_pairData.txt.gz
outHdr	network/factorization//ppi-strict_
DPM-alpha	1
random_seed	1514907846
num_repeats	20
pre_gibbs	100
a0	0.0001
score_component_0	274496
score_component_1	98.5828
score_component_2	32.5549
score_component_3	32.5549
score_component_4	197.452
score_component_5	32.5549
score_component_6	32.5549
score_component_7	32.5549
score_component_8	32.5549
score_component_9	32.5549
score_component_10	32.5549
score_component_11	32.5549
score_component_12	98.5828
score_component_13	98.5828
score_component_14	32.5549
score_component_15	32.5549
