module	module.sort	n.genes
8343	1	1
1033	2	1
16487	3	4
4129	4	1
16492	5	1
16526	6	11
16789	7	3
524	8	1
16782	9	10
16627	10	1
4108	11	2
16385	12	7
16530	13	5
16765	14	2
16766	15	10
16693	16	25
8239	17	2
16455	18	2
16495	19	3
16503	20	1
16496	21	6
4124	22	6
8372	23	3
16425	24	2
16426	25	2
16427	26	6
16386	27	5
16428	28	4
16780	29	5
16779	30	4
16781	31	6
16628	32	1
16433	33	7
16434	34	4
2054	35	4
16483	36	2
4176	37	3
262	38	5
8203	39	1
16681	40	2
16387	41	4
4146	42	5
16749	43	5
16748	44	3
16747	45	2
16388	46	3
4103	47	2
16728	48	8
2074	49	3
16391	50	3
8252	51	2
16482	52	1
16481	53	3
8228	54	1
8196	55	2
16533	56	1
16534	57	1
16532	58	2
4179	59	2
4114	60	1
16456	61	1
4197	62	1
4126	63	1
16525	64	5
16414	65	1
16491	66	1
8205	67	2
16413	68	2
16712	69	7
8321	70	2
8211	71	2
16740	72	4
4198	73	3
2070	74	1
16713	75	1
8314	76	1
16406	77	1
16405	78	2
16403	79	2
16399	80	2
8200	81	1
16400	82	1
8387	83	2
8263	84	1
16683	85	1
16778	86	3
16404	87	5
16622	88	4
16619	89	1
2075	90	1
16718	91	3
16398	92	3
8367	93	2
16484	94	6
16752	95	2
16621	96	2
8191	97	4
16409	98	2
16742	99	14
8379	100	1
8194	101	2
2066	102	1
4175	103	1
16733	104	5
16734	105	2
16790	106	1
16769	107	2
8350	108	2
8197	109	3
16739	110	3
4145	111	1
2063	112	1
16504	113	5
16694	114	1
16691	115	13
8332	116	1
16716	117	1
16750	118	4
16529	119	7
16770	120	7
16410	121	2
16488	122	1
2057	123	3
4188	124	15
8329	125	1
16692	126	4
16715	127	2
16695	128	4
16696	129	1
16717	130	3
16774	131	1
16751	132	3
8348	133	2
16741	134	7
16730	135	2
16729	136	6
16471	137	3
8342	138	3
8322	139	1
2080	140	21
2083	141	31
16472	142	1
4155	143	3
4180	144	1
16684	145	4
